"status","time","id","home","score__001","score__002","away","link"
"played","1475262000","2241820","Everton FC","1 "," 1","Crystal Palace FC","/en-us/match/everton-vs-crystal-palace/2241820"
"played","1474916400","2241811","Burnley FC","2 "," 0","Watford FC","/en-us/match/burnley-vs-watford/2241811"
"played","1474815600","2241818","West Ham United FC","0 "," 3","Southampton FC","/en-us/match/west-ham-united-vs-southampton/2241818"
"played","1474725600","2241809","AFC Bournemouth","1 "," 0","Everton FC","/en-us/match/afc-bournemouth-vs-everton/2241809"
"played","1474734600","2241810","Arsenal FC","3 "," 0","Chelsea FC","/en-us/match/arsenal-vs-chelsea/2241810"
"played","1474725600","2241812","Liverpool FC","5 "," 1","Hull City AFC","/en-us/match/liverpool-vs-hull-city/2241812"
"played","1474716600","2241813","Manchester United FC","4 "," 1","Leicester City FC","/en-us/match/manchester-united-vs-leicester-city/2241813"
"played","1474725600","2241814","Middlesbrough FC","1 "," 2","Tottenham Hotspur FC","/en-us/match/middlesbrough-vs-tottenham-hotspur/2241814"
"played","1474725600","2241815","Stoke City FC","1 "," 1","West Bromwich Albion FC","/en-us/match/stoke-city-vs-west-bromwich-albion/2241815"
"played","1474725600","2241816","Sunderland AFC","2 "," 3","Crystal Palace FC","/en-us/match/sunderland-vs-crystal-palace/2241816"
"played","1474725600","2241817","Swansea City AFC","1 "," 3","Manchester City FC","/en-us/match/swansea-city-vs-manchester-city/2241817"
"played","1474204500","2241800","Crystal Palace FC","4 "," 1","Stoke City FC","/en-us/match/crystal-palace-vs-stoke-city/2241800"
"played","1474204500","2241805","Southampton FC","1 "," 0","Swansea City AFC","/en-us/match/southampton-vs-swansea-city/2241805"
"played","1474212600","2241806","Tottenham Hotspur FC","1 "," 0","Sunderland AFC","/en-us/match/tottenham-hotspur-vs-sunderland/2241806"
"played","1474196400","2241807","Watford FC","3 "," 1","Manchester United FC","/en-us/match/watford-vs-manchester-united/2241807"
"played","1474129800","2241801","Everton FC","3 "," 1","Middlesbrough FC","/en-us/match/everton-vs-middlesbrough/2241801"
"played","1474120800","2241802","Hull City AFC","1 "," 4","Arsenal FC","/en-us/match/hull-city-vs-arsenal/2241802"
"played","1474120800","2241803","Leicester City FC","3 "," 0","Burnley FC","/en-us/match/leicester-city-vs-burnley/2241803"
"played","1474120800","2241804","Manchester City FC","4 "," 0","AFC Bournemouth","/en-us/match/manchester-city-vs-afc-bournemouth/2241804"
"played","1474120800","2241808","West Bromwich Albion FC","4 "," 2","West Ham United FC","/en-us/match/west-bromwich-albion-vs-west-ham-united/2241808"
"played","1474052400","2241799","Chelsea FC","1 "," 2","Liverpool FC","/en-us/match/chelsea-vs-liverpool/2241799"
"played","1473706800","2241796","Sunderland AFC","0 "," 3","Everton FC","/en-us/match/sunderland-vs-everton/2241796"
"played","1473606000","2241797","Swansea City AFC","2 "," 2","Chelsea FC","/en-us/match/swansea-city-vs-chelsea/2241797"
